ua_name,ua_id,state,county,tract,block,block_geoid
"Colonial Beach, VA",18775,51,193,010400,3000,511930104003000
"Colonial Beach, VA",18775,51,193,010400,4062,511930104004062
"Colonial Beach, VA",18775,51,193,010400,4059,511930104004059
"Colonial Beach, VA",18775,51,193,010400,5000,511930104005000
"Colonial Beach, VA",18775,51,193,010400,4044,511930104004044
"Colonial Beach, VA",18775,51,193,010400,3025,511930104003025
"Colonial Beach, VA",18775,51,193,010400,4010,511930104004010
"Colonial Beach, VA",18775,51,193,010400,4004,511930104004004
"Colonial Beach, VA",18775,51,193,010400,4021,511930104004021
"Colonial Beach, VA",18775,51,193,010400,4040,511930104004040
"Colonial Beach, VA",18775,51,193,010400,4058,511930104004058
"Colonial Beach, VA",18775,51,193,010400,5053,511930104005053
"Colonial Beach, VA",18775,51,193,010400,5031,511930104005031
"Colonial Beach, VA",18775,51,193,010400,5058,511930104005058
"Colonial Beach, VA",18775,51,193,010400,5049,511930104005049
"Colonial Beach, VA",18775,51,193,010400,5077,511930104005077
"Colonial Beach, VA",18775,51,193,010400,5067,511930104005067
"Colonial Beach, VA",18775,51,193,010400,5076,511930104005076
"Colonial Beach, VA",18775,51,193,010400,5075,511930104005075
"Colonial Beach, VA",18775,51,193,010400,5063,511930104005063
"Colonial Beach, VA",18775,51,193,010400,5013,511930104005013
"Colonial Beach, VA",18775,51,193,010400,5017,511930104005017
"Colonial Beach, VA",18775,51,193,010400,5110,511930104005110
"Colonial Beach, VA",18775,51,193,010400,5048,511930104005048
"Colonial Beach, VA",18775,51,193,010400,5111,511930104005111
"Colonial Beach, VA",18775,51,193,010400,3001,511930104003001
"Colonial Beach, VA",18775,51,193,010400,4001,511930104004001
"Colonial Beach, VA",18775,51,193,010400,3007,511930104003007
"Colonial Beach, VA",18775,51,193,010400,3031,511930104003031
"Colonial Beach, VA",18775,51,193,010400,3022,511930104003022
"Colonial Beach, VA",18775,51,193,010400,2005,511930104002005
"Colonial Beach, VA",18775,51,193,010400,5055,511930104005055
"Colonial Beach, VA",18775,51,193,010400,4035,511930104004035
"Colonial Beach, VA",18775,51,193,010400,5015,511930104005015
"Colonial Beach, VA",18775,51,193,010400,4047,511930104004047
"Colonial Beach, VA",18775,51,193,010400,4015,511930104004015
"Colonial Beach, VA",18775,51,193,010400,4029,511930104004029
"Colonial Beach, VA",18775,51,193,010400,4037,511930104004037
"Colonial Beach, VA",18775,51,193,010400,4031,511930104004031
"Colonial Beach, VA",18775,51,193,010400,4050,511930104004050
"Colonial Beach, VA",18775,51,193,010400,2052,511930104002052
"Colonial Beach, VA",18775,51,193,010400,5050,511930104005050
"Colonial Beach, VA",18775,51,193,010400,5005,511930104005005
"Colonial Beach, VA",18775,51,193,010400,5064,511930104005064
"Colonial Beach, VA",18775,51,193,010400,5089,511930104005089
"Colonial Beach, VA",18775,51,193,010400,5001,511930104005001
"Colonial Beach, VA",18775,51,193,010400,5108,511930104005108
"Colonial Beach, VA",18775,51,193,010400,5010,511930104005010
"Colonial Beach, VA",18775,51,193,010400,5002,511930104005002
"Colonial Beach, VA",18775,51,193,010400,5011,511930104005011
"Colonial Beach, VA",18775,51,193,010400,2108,511930104002108
"Colonial Beach, VA",18775,51,193,010400,3024,511930104003024
"Colonial Beach, VA",18775,51,193,010400,3005,511930104003005
"Colonial Beach, VA",18775,51,193,010400,4055,511930104004055
"Colonial Beach, VA",18775,51,193,010400,5037,511930104005037
"Colonial Beach, VA",18775,51,193,010400,4005,511930104004005
"Colonial Beach, VA",18775,51,193,010400,4045,511930104004045
"Colonial Beach, VA",18775,51,193,010400,3032,511930104003032
"Colonial Beach, VA",18775,51,193,010400,3026,511930104003026
"Colonial Beach, VA",18775,51,193,010400,4003,511930104004003
"Colonial Beach, VA",18775,51,193,010400,4051,511930104004051
"Colonial Beach, VA",18775,51,193,010400,4043,511930104004043
"Colonial Beach, VA",18775,51,193,010400,5052,511930104005052
"Colonial Beach, VA",18775,51,193,010400,4060,511930104004060
"Colonial Beach, VA",18775,51,193,010400,4053,511930104004053
"Colonial Beach, VA",18775,51,193,010400,3010,511930104003010
"Colonial Beach, VA",18775,51,193,010400,2048,511930104002048
"Colonial Beach, VA",18775,51,193,010400,3012,511930104003012
"Colonial Beach, VA",18775,51,193,010400,5059,511930104005059
"Colonial Beach, VA",18775,51,193,010400,4057,511930104004057
"Colonial Beach, VA",18775,51,193,010400,5012,511930104005012
"Colonial Beach, VA",18775,51,193,010400,5066,511930104005066
"Colonial Beach, VA",18775,51,193,010400,5020,511930104005020
"Colonial Beach, VA",18775,51,193,010400,5082,511930104005082
"Colonial Beach, VA",18775,51,193,010400,5014,511930104005014
"Colonial Beach, VA",18775,51,193,010400,5088,511930104005088
"Colonial Beach, VA",18775,51,193,010400,5095,511930104005095
"Colonial Beach, VA",18775,51,193,010400,5096,511930104005096
"Colonial Beach, VA",18775,51,193,010400,5027,511930104005027
"Colonial Beach, VA",18775,51,193,010400,5100,511930104005100
"Colonial Beach, VA",18775,51,193,010400,5030,511930104005030
"Colonial Beach, VA",18775,51,193,010400,4000,511930104004000
"Colonial Beach, VA",18775,51,193,010400,5039,511930104005039
"Colonial Beach, VA",18775,51,193,010400,4007,511930104004007
"Colonial Beach, VA",18775,51,193,010400,3023,511930104003023
"Colonial Beach, VA",18775,51,193,010400,4026,511930104004026
"Colonial Beach, VA",18775,51,193,010400,3027,511930104003027
"Colonial Beach, VA",18775,51,193,010400,2112,511930104002112
"Colonial Beach, VA",18775,51,193,010400,4012,511930104004012
"Colonial Beach, VA",18775,51,193,010400,4025,511930104004025
"Colonial Beach, VA",18775,51,193,010400,4023,511930104004023
"Colonial Beach, VA",18775,51,193,010400,4038,511930104004038
"Colonial Beach, VA",18775,51,193,010400,4041,511930104004041
"Colonial Beach, VA",18775,51,193,010400,4036,511930104004036
"Colonial Beach, VA",18775,51,193,010400,4030,511930104004030
"Colonial Beach, VA",18775,51,193,010400,4052,511930104004052
"Colonial Beach, VA",18775,51,193,010400,5051,511930104005051
"Colonial Beach, VA",18775,51,193,010400,5003,511930104005003
"Colonial Beach, VA",18775,51,193,010400,5040,511930104005040
"Colonial Beach, VA",18775,51,193,010400,5025,511930104005025
"Colonial Beach, VA",18775,51,193,010400,5023,511930104005023
"Colonial Beach, VA",18775,51,193,010400,5081,511930104005081
"Colonial Beach, VA",18775,51,193,010400,5080,511930104005080
"Colonial Beach, VA",18775,51,193,010400,5084,511930104005084
"Colonial Beach, VA",18775,51,193,010400,5090,511930104005090
"Colonial Beach, VA",18775,51,193,010400,5091,511930104005091
"Colonial Beach, VA",18775,51,193,010400,5097,511930104005097
"Colonial Beach, VA",18775,51,193,010400,5109,511930104005109
"Colonial Beach, VA",18775,51,193,010400,5061,511930104005061
"Colonial Beach, VA",18775,51,193,010400,2110,511930104002110
"Colonial Beach, VA",18775,51,193,010400,3016,511930104003016
"Colonial Beach, VA",18775,51,193,010400,2047,511930104002047
"Colonial Beach, VA",18775,51,193,010400,4032,511930104004032
"Colonial Beach, VA",18775,51,193,010400,4046,511930104004046
