ua_name,ua_id,state,county,tract,block,block_geoid,pop
"Powell, WY",71830,56,29,965200,4008,560299652004008,0
"Powell, WY",71830,56,29,965200,4027,560299652004027,14
"Powell, WY",71830,56,29,965200,5012,560299652005012,17
"Powell, WY",71830,56,29,965200,3016,560299652003016,19
"Powell, WY",71830,56,29,965200,2045,560299652002045,21
"Powell, WY",71830,56,29,965200,4039,560299652004039,22
"Powell, WY",71830,56,29,965200,2015,560299652002015,73
"Powell, WY",71830,56,29,965200,4077,560299652004077,4
"Powell, WY",71830,56,29,965200,2021,560299652002021,551
"Powell, WY",71830,56,29,965200,3014,560299652003014,11
"Powell, WY",71830,56,29,965200,3023,560299652003023,43
"Powell, WY",71830,56,29,965200,2001,560299652002001,1
"Powell, WY",71830,56,29,965200,4003,560299652004003,0
"Powell, WY",71830,56,29,965200,5072,560299652005072,1
"Powell, WY",71830,56,29,965200,4116,560299652004116,0
"Powell, WY",71830,56,29,965200,4118,560299652004118,0
"Powell, WY",71830,56,29,965200,4099,560299652004099,8
"Powell, WY",71830,56,29,965200,4007,560299652004007,0
"Powell, WY",71830,56,29,965200,4076,560299652004076,9
"Powell, WY",71830,56,29,965200,3026,560299652003026,18
"Powell, WY",71830,56,29,965200,3037,560299652003037,23
"Powell, WY",71830,56,29,965200,3029,560299652003029,13
"Powell, WY",71830,56,29,965200,3049,560299652003049,27
"Powell, WY",71830,56,29,965200,5086,560299652005086,0
"Powell, WY",71830,56,29,965200,1069,560299652001069,0
"Powell, WY",71830,56,29,965200,2012,560299652002012,0
"Powell, WY",71830,56,29,965200,5068,560299652005068,31
"Powell, WY",71830,56,29,965200,5041,560299652005041,0
"Powell, WY",71830,56,29,965200,5091,560299652005091,0
"Powell, WY",71830,56,29,965200,4012,560299652004012,0
"Powell, WY",71830,56,29,965200,5069,560299652005069,25
"Powell, WY",71830,56,29,965200,5089,560299652005089,0
"Powell, WY",71830,56,29,965200,2057,560299652002057,13
"Powell, WY",71830,56,29,965200,2076,560299652002076,19
"Powell, WY",71830,56,29,965200,2073,560299652002073,18
"Powell, WY",71830,56,29,965100,2038,560299651002038,0
"Powell, WY",71830,56,29,965200,2014,560299652002014,4
"Powell, WY",71830,56,29,965200,2074,560299652002074,0
"Powell, WY",71830,56,29,965200,4088,560299652004088,0
"Powell, WY",71830,56,29,965200,4115,560299652004115,0
"Powell, WY",71830,56,29,965200,4119,560299652004119,0
"Powell, WY",71830,56,29,965200,4096,560299652004096,15
"Powell, WY",71830,56,29,965200,2069,560299652002069,9
"Powell, WY",71830,56,29,965200,4074,560299652004074,0
"Powell, WY",71830,56,29,965200,4066,560299652004066,18
"Powell, WY",71830,56,29,965200,4067,560299652004067,10
"Powell, WY",71830,56,29,965200,4070,560299652004070,67
"Powell, WY",71830,56,29,965200,2026,560299652002026,225
"Powell, WY",71830,56,29,965200,1007,560299652001007,17
"Powell, WY",71830,56,29,965200,2070,560299652002070,13
"Powell, WY",71830,56,29,965200,2077,560299652002077,15
"Powell, WY",71830,56,29,965100,1704,560299651001704,4
"Powell, WY",71830,56,29,965200,3009,560299652003009,8
"Powell, WY",71830,56,29,965200,3008,560299652003008,19
"Powell, WY",71830,56,29,965200,5004,560299652005004,15
"Powell, WY",71830,56,29,965200,3020,560299652003020,16
"Powell, WY",71830,56,29,965200,1051,560299652001051,7
"Powell, WY",71830,56,29,965200,4126,560299652004126,0
"Powell, WY",71830,56,29,965200,4015,560299652004015,4
"Powell, WY",71830,56,29,965200,4036,560299652004036,11
"Powell, WY",71830,56,29,965200,1010,560299652001010,0
"Powell, WY",71830,56,29,965200,5076,560299652005076,0
"Powell, WY",71830,56,29,965200,3017,560299652003017,6
"Powell, WY",71830,56,29,965200,2048,560299652002048,24
"Powell, WY",71830,56,29,965200,3034,560299652003034,22
"Powell, WY",71830,56,29,965200,3032,560299652003032,4
"Powell, WY",71830,56,29,965200,3053,560299652003053,8
"Powell, WY",71830,56,29,965200,5078,560299652005078,8
"Powell, WY",71830,56,29,965200,5044,560299652005044,6
"Powell, WY",71830,56,29,965200,5063,560299652005063,20
"Powell, WY",71830,56,29,965200,4025,560299652004025,47
"Powell, WY",71830,56,29,965200,4042,560299652004042,0
"Powell, WY",71830,56,29,965200,4051,560299652004051,0
"Powell, WY",71830,56,29,965200,4071,560299652004071,15
"Powell, WY",71830,56,29,965200,2028,560299652002028,18
"Powell, WY",71830,56,29,965200,4058,560299652004058,31
"Powell, WY",71830,56,29,965200,4061,560299652004061,27
"Powell, WY",71830,56,29,965200,4114,560299652004114,6
"Powell, WY",71830,56,29,965200,1054,560299652001054,26
"Powell, WY",71830,56,29,965200,1070,560299652001070,0
"Powell, WY",71830,56,29,965200,1068,560299652001068,0
"Powell, WY",71830,56,29,965200,4040,560299652004040,28
"Powell, WY",71830,56,29,965200,4049,560299652004049,0
"Powell, WY",71830,56,29,965200,4048,560299652004048,7
"Powell, WY",71830,56,29,965200,2030,560299652002030,46
"Powell, WY",71830,56,29,965200,4079,560299652004079,44
"Powell, WY",71830,56,29,965200,1028,560299652001028,0
"Powell, WY",71830,56,29,965200,4113,560299652004113,0
"Powell, WY",71830,56,29,965200,2009,560299652002009,0
"Powell, WY",71830,56,29,965200,2064,560299652002064,18
"Powell, WY",71830,56,29,965200,1003,560299652001003,0
"Powell, WY",71830,56,29,965200,1031,560299652001031,0
"Powell, WY",71830,56,29,965200,4121,560299652004121,0
"Powell, WY",71830,56,29,965200,3015,560299652003015,6
"Powell, WY",71830,56,29,965200,3040,560299652003040,13
"Powell, WY",71830,56,29,965200,2052,560299652002052,20
"Powell, WY",71830,56,29,965200,4010,560299652004010,0
"Powell, WY",71830,56,29,965200,5054,560299652005054,25
"Powell, WY",71830,56,29,965200,4068,560299652004068,4
"Powell, WY",71830,56,29,965200,1064,560299652001064,2
"Powell, WY",71830,56,29,965200,3013,560299652003013,19
"Powell, WY",71830,56,29,965200,1048,560299652001048,10
"Powell, WY",71830,56,29,965200,5024,560299652005024,13
"Powell, WY",71830,56,29,965200,5025,560299652005025,12
"Powell, WY",71830,56,29,965200,5055,560299652005055,11
"Powell, WY",71830,56,29,965200,4110,560299652004110,0
"Powell, WY",71830,56,29,965200,4122,560299652004122,0
"Powell, WY",71830,56,29,965200,3007,560299652003007,6
"Powell, WY",71830,56,29,965200,2040,560299652002040,3
"Powell, WY",71830,56,29,965200,5050,560299652005050,15
"Powell, WY",71830,56,29,965200,5067,560299652005067,11
"Powell, WY",71830,56,29,965200,4016,560299652004016,12
"Powell, WY",71830,56,29,965100,1741,560299651001741,0
"Powell, WY",71830,56,29,965200,2037,560299652002037,0
"Powell, WY",71830,56,29,965200,4063,560299652004063,0
"Powell, WY",71830,56,29,965200,5008,560299652005008,30
"Powell, WY",71830,56,29,965200,3006,560299652003006,12
"Powell, WY",71830,56,29,965200,3038,560299652003038,23
"Powell, WY",71830,56,29,965200,3052,560299652003052,17
"Powell, WY",71830,56,29,965200,1053,560299652001053,23
"Powell, WY",71830,56,29,965200,5037,560299652005037,2
"Powell, WY",71830,56,29,965200,4052,560299652004052,6
"Powell, WY",71830,56,29,965200,4062,560299652004062,20
"Powell, WY",71830,56,29,965200,2008,560299652002008,0
"Powell, WY",71830,56,29,965200,5001,560299652005001,24
"Powell, WY",71830,56,29,965200,3036,560299652003036,23
"Powell, WY",71830,56,29,965200,3047,560299652003047,12
"Powell, WY",71830,56,29,965200,1052,560299652001052,33
"Powell, WY",71830,56,29,965100,2036,560299651002036,0
"Powell, WY",71830,56,29,965200,1011,560299652001011,0
"Powell, WY",71830,56,29,965200,4078,560299652004078,54
"Powell, WY",71830,56,29,965200,4064,560299652004064,35
"Powell, WY",71830,56,29,965200,1062,560299652001062,16
"Powell, WY",71830,56,29,965200,1017,560299652001017,89
"Powell, WY",71830,56,29,965200,3000,560299652003000,23
"Powell, WY",71830,56,29,965200,3025,560299652003025,39
"Powell, WY",71830,56,29,965200,5009,560299652005009,19
"Powell, WY",71830,56,29,965200,3028,560299652003028,18
"Powell, WY",71830,56,29,965200,5014,560299652005014,12
"Powell, WY",71830,56,29,965200,5018,560299652005018,7
"Powell, WY",71830,56,29,965200,3024,560299652003024,20
"Powell, WY",71830,56,29,965200,5084,560299652005084,16
"Powell, WY",71830,56,29,965200,5021,560299652005021,0
"Powell, WY",71830,56,29,965200,5019,560299652005019,9
"Powell, WY",71830,56,29,965200,3030,560299652003030,17
"Powell, WY",71830,56,29,965200,5030,560299652005030,3
"Powell, WY",71830,56,29,965200,3035,560299652003035,21
"Powell, WY",71830,56,29,965200,5065,560299652005065,8
"Powell, WY",71830,56,29,965200,4047,560299652004047,0
"Powell, WY",71830,56,29,965200,4035,560299652004035,11
"Powell, WY",71830,56,29,965200,5070,560299652005070,25
"Powell, WY",71830,56,29,965200,4059,560299652004059,13
"Powell, WY",71830,56,29,965200,4109,560299652004109,0
"Powell, WY",71830,56,29,965200,1014,560299652001014,0
"Powell, WY",71830,56,29,965200,3010,560299652003010,10
"Powell, WY",71830,56,29,965200,4108,560299652004108,0
"Powell, WY",71830,56,29,965200,4090,560299652004090,11
"Powell, WY",71830,56,29,965100,1710,560299651001710,154
"Powell, WY",71830,56,29,965200,4084,560299652004084,2
"Powell, WY",71830,56,29,965200,5031,560299652005031,0
"Powell, WY",71830,56,29,965200,5027,560299652005027,4
"Powell, WY",71830,56,29,965200,5085,560299652005085,3
"Powell, WY",71830,56,29,965200,5033,560299652005033,8
"Powell, WY",71830,56,29,965200,5040,560299652005040,1
"Powell, WY",71830,56,29,965200,4050,560299652004050,5
"Powell, WY",71830,56,29,965200,2025,560299652002025,21
"Powell, WY",71830,56,29,965200,3005,560299652003005,25
"Powell, WY",71830,56,29,965200,1015,560299652001015,92
"Powell, WY",71830,56,29,965200,5061,560299652005061,22
"Powell, WY",71830,56,29,965200,5038,560299652005038,3
"Powell, WY",71830,56,29,965200,5026,560299652005026,3
"Powell, WY",71830,56,29,965200,1057,560299652001057,7
"Powell, WY",71830,56,29,965200,2058,560299652002058,27
"Powell, WY",71830,56,29,965200,4020,560299652004020,0
"Powell, WY",71830,56,29,965200,4019,560299652004019,0
"Powell, WY",71830,56,29,965200,4017,560299652004017,0
"Powell, WY",71830,56,29,965200,1059,560299652001059,0
"Powell, WY",71830,56,29,965200,2046,560299652002046,92
"Powell, WY",71830,56,29,965200,1009,560299652001009,0
"Powell, WY",71830,56,29,965200,1061,560299652001061,34
"Powell, WY",71830,56,29,965200,1035,560299652001035,0
"Powell, WY",71830,56,29,965200,4014,560299652004014,7
"Powell, WY",71830,56,29,965200,4024,560299652004024,33
"Powell, WY",71830,56,29,965200,1016,560299652001016,6
"Powell, WY",71830,56,29,965200,4123,560299652004123,0
"Powell, WY",71830,56,29,965100,1718,560299651001718,0
"Powell, WY",71830,56,29,965200,3044,560299652003044,10
"Powell, WY",71830,56,29,965200,3050,560299652003050,0
"Powell, WY",71830,56,29,965200,2051,560299652002051,12
"Powell, WY",71830,56,29,965200,4054,560299652004054,12
"Powell, WY",71830,56,29,965200,4094,560299652004094,13
"Powell, WY",71830,56,29,965200,4097,560299652004097,0
"Powell, WY",71830,56,29,965200,2079,560299652002079,0
"Powell, WY",71830,56,29,965200,4006,560299652004006,0
"Powell, WY",71830,56,29,965200,2027,560299652002027,2
"Powell, WY",71830,56,29,965200,1020,560299652001020,38
"Powell, WY",71830,56,29,965200,2017,560299652002017,19
"Powell, WY",71830,56,29,965200,5000,560299652005000,31
"Powell, WY",71830,56,29,965200,2067,560299652002067,0
"Powell, WY",71830,56,29,965200,5043,560299652005043,12
"Powell, WY",71830,56,29,965200,4013,560299652004013,4
"Powell, WY",71830,56,29,965200,4043,560299652004043,0
"Powell, WY",71830,56,29,965200,5088,560299652005088,0
"Powell, WY",71830,56,29,965200,1046,560299652001046,19
"Powell, WY",71830,56,29,965200,4073,560299652004073,4
"Powell, WY",71830,56,29,965200,2031,560299652002031,20
"Powell, WY",71830,56,29,965200,5010,560299652005010,15
"Powell, WY",71830,56,29,965200,3022,560299652003022,21
"Powell, WY",71830,56,29,965200,3046,560299652003046,9
"Powell, WY",71830,56,29,965200,5032,560299652005032,0
"Powell, WY",71830,56,29,965200,5090,560299652005090,0
"Powell, WY",71830,56,29,965200,1055,560299652001055,15
"Powell, WY",71830,56,29,965200,4022,560299652004022,7
"Powell, WY",71830,56,29,965200,4093,560299652004093,19
"Powell, WY",71830,56,29,965200,2000,560299652002000,0
"Powell, WY",71830,56,29,965200,2018,560299652002018,20
"Powell, WY",71830,56,29,965200,1040,560299652001040,8
"Powell, WY",71830,56,29,965200,2035,560299652002035,0
"Powell, WY",71830,56,29,965200,1044,560299652001044,12
"Powell, WY",71830,56,29,965200,3018,560299652003018,20
"Powell, WY",71830,56,29,965200,5023,560299652005023,33
"Powell, WY",71830,56,29,965200,5083,560299652005083,37
"Powell, WY",71830,56,29,965200,4032,560299652004032,30
"Powell, WY",71830,56,29,965200,2023,560299652002023,18
"Powell, WY",71830,56,29,965200,2022,560299652002022,42
"Powell, WY",71830,56,29,965200,2065,560299652002065,3
"Powell, WY",71830,56,29,965200,5028,560299652005028,0
"Powell, WY",71830,56,29,965200,5075,560299652005075,0
"Powell, WY",71830,56,29,965200,5048,560299652005048,52
"Powell, WY",71830,56,29,965200,5047,560299652005047,13
"Powell, WY",71830,56,29,965200,5057,560299652005057,0
"Powell, WY",71830,56,29,965200,5060,560299652005060,21
"Powell, WY",71830,56,29,965200,5064,560299652005064,17
"Powell, WY",71830,56,29,965200,5053,560299652005053,0
"Powell, WY",71830,56,29,965200,2002,560299652002002,0
"Powell, WY",71830,56,29,965100,1716,560299651001716,0
"Powell, WY",71830,56,29,965100,1711,560299651001711,3
"Powell, WY",71830,56,29,965200,1004,560299652001004,24
"Powell, WY",71830,56,29,965200,1047,560299652001047,6
"Powell, WY",71830,56,29,965200,1056,560299652001056,5
"Powell, WY",71830,56,29,965200,2071,560299652002071,1
"Powell, WY",71830,56,29,965200,5006,560299652005006,30
"Powell, WY",71830,56,29,965200,5034,560299652005034,0
"Powell, WY",71830,56,29,965200,4055,560299652004055,15
"Powell, WY",71830,56,29,965200,1032,560299652001032,0
"Powell, WY",71830,56,29,965200,2053,560299652002053,0
